Id,label
0,2
1,2
2,1
3,1
4,1
5,0
6,1
7,0
8,1
9,0
10,1
11,0
12,2
13,1
14,1
15,1
16,0
17,1
18,1
19,0
20,1
21,1
22,1
23,0
24,0
25,0
26,0
27,0
28,1
29,0
30,2
31,1
32,1
33,1
34,2
35,0
36,1
37,1
38,0
39,1
40,0
41,0
42,1
43,2
44,0
45,1
46,1
47,0
48,2
49,2
50,1
51,1
52,2
53,1
54,1
55,1
56,0
57,0
58,2
59,1
60,2
61,2
62,2
63,1
64,0
65,0
66,2
67,0
68,0
69,0
70,1
71,2
72,0
73,0
74,0
75,2
76,2
77,2
78,1
79,2
80,2
81,1
82,1
83,1
84,2
85,1
86,1
87,1
88,1
89,1
90,0
91,1
92,1
93,2
94,1
95,2
96,2
97,2
98,1
99,2
100,1
101,1
102,2
103,0
104,1
105,2
106,1
107,0
108,0
109,1
110,0
111,1
112,0
113,0
114,2
115,1
116,1
117,2
118,1
119,1
120,1
121,2
122,2
123,0
124,0
125,1
126,2
127,1
128,2
129,0
130,2
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,2
139,1
140,2
141,2
142,0
143,2
144,0
145,2
146,1
147,1
148,1
149,0
150,2
151,1
152,1
153,1
154,1
155,1
156,2
157,1
158,1
159,0
160,1
161,1
162,1
163,2
164,1
165,1
166,1
167,2
168,0
169,1
170,0
171,1
172,0
173,1
174,1
175,1
176,0
177,1
178,0
179,0
180,2
181,0
182,0
183,1
184,1
185,2
186,0
187,2
188,2
189,0
190,1
191,1
192,2
193,2
194,0
195,1
196,1
197,0
198,1
199,1
200,1
201,1
202,0
203,0
204,0
205,1
206,1
207,1
208,2
209,1
210,1
211,0
212,1
213,0
214,0
215,2
216,2
217,2
218,0
219,1
220,1
221,1
222,0
223,1
224,0
225,1
226,1
227,2
228,1
229,1
230,2
231,0
232,2
233,2
234,0
235,0
236,1
237,2
238,2
239,1
240,1
241,0
242,2
243,0
244,1
245,2
246,2
247,2
248,1
249,1
250,1
251,1
252,1
253,1
254,2
255,1
256,2
257,0
258,1
259,1
260,0
261,1
262,1
263,1
264,1
265,0
266,1
267,0
268,1
269,2
270,2
271,2
272,2
273,1
274,2
275,1
276,1
277,0
278,1
279,1
280,1
281,1
282,0
283,0
284,0
285,2
286,2
287,2
288,1
289,1
290,0
291,1
292,0
293,1
294,0
295,1
296,0
297,1
298,2
299,1
300,2
301,0
302,1
303,1
304,1
305,2
306,1
307,1
308,1
309,2
310,2
311,0
312,1
313,2
314,0
315,2
316,2
317,1
318,2
319,2
320,0
321,2
322,2
323,2
324,1
325,1
326,1
327,0
328,1
329,0
330,0
331,2
332,0
333,1
334,0
335,2
336,2
337,0
338,2
339,1
340,0
341,2
342,1
343,1
344,1
345,2
346,0
347,1
348,1
349,1
350,2
351,1
352,1
353,1
354,2
355,1
356,2
357,1
358,1
359,0
360,0
361,0
362,1
363,2
364,2
365,1
366,0
367,1
368,1
369,2
370,1
371,1
372,2
373,1
374,1
375,1
376,2
377,2
378,1
379,0
380,0
381,1
382,2
383,2
384,0
385,1
386,1
387,0
388,0
389,2
390,2
391,0
392,1
393,1
394,2
395,0
396,2
397,0
398,0
399,0
400,2
401,1
402,1
403,1
404,0
405,2
406,1
407,2
408,0
409,0
410,0
411,0
412,1
413,1
414,0
415,1
416,2
417,2
418,0
419,1
420,1
421,1
422,0
423,2
424,0
425,2
426,1
427,1
428,2
429,2
430,1
431,0
432,1
433,0
434,2
435,1
436,0
437,2
438,1
439,1
440,1
441,1
442,1
443,2
444,2
445,1
446,0
447,2
448,2
449,0
450,1
451,1
452,1
453,1
454,1
455,2
456,1
457,1
458,2
459,1
460,1
461,1
462,2
463,1
464,2
465,1
466,2
467,1
468,0
469,0
470,1
471,2
472,2
473,1
474,0
475,2
476,0
477,1
478,0
479,2
480,0
481,0
482,0
483,1
484,1
485,1
486,1
487,1
488,2
489,1
490,0
491,0
492,0
493,2
494,1
495,2
496,0
497,1
498,1
499,1
500,1
501,1
502,0
503,2
504,1
505,2
506,1
507,0
508,2
509,2
510,1
511,2
512,0
513,1
514,0
515,2
516,1
517,1
518,1
519,1
520,1
521,0
522,2
523,0
524,1
525,1
526,2
527,2
528,0
529,2
530,1
531,1
532,0
533,2
534,2
535,0
536,1
537,0
538,1
539,0
540,2
541,0
542,2
543,2
544,1
545,0
546,1
